Country,Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Botswana,BWA,30411450,32902654,35644985,38091777,41616419,45788671,51465624,58642385,66248427,77361533,96243298,126954477,165253184,244124116,306044206,355168715,372025093,451624960,590407375,819870595,1060889705,1073812404,1014945861,1172230576,1240821849,1114783538,1392602040,1965227085,2644554882,3083822367,3790636664,3942877354,4146464587,4160168381,4340089050,4773374541,4799842183,5180016336,5190690951,5866463130,5632594711,6033732586,6091497225,8086823657,10048688237,10255540554,11255729693,12379018582,13443391231,11536926822,14904834649,17327510032
Brazil,BRA,15165569913,15236854859,19926293839,23021477292,21211892260,21790035102,27062716511,30591834045,33875881906,37458898265,42327600116,49204456712,58539008796,79279057736,105136007545,123709376567,152678020453,176171284305,200800891872,224969488839,235024598984,263561088976,281682304160,203304515491,209023912697,222942790435,268137224730,294084112393,330397381998,425595310000,461951782000,407337832905,390566551484,438299504406,614462693571,768951297895,839682618645,871200342860,843827363149,586862640399,644701831101,553582178386,504221228974,552469288268,663760341880,882185702547,1088916819853,1365982138274,1652817559097,1621661507655,2143035333258,2476652189880
Brunei Darussalam,BRN,,,,,,114040246,132758395,139030446,160819287,161211290,179080099,197523179,270818556,433092004,1073577086,1168304306,1423061357,1732721161,1941600704,2803780006,4928824958,4366213850,4264252336,3844723142,3782523088,3523612563,2358592817,2754463438,2690717551,2985467990,3520551724,3701667053,4183548189,4105706152,4087337960,4734020037,5115602837,5197332974,4051147228,4600000000,6001153318,5601090584,5843329102,6557333067,7872333197,9531402830,11470703002,12247627895,14393099069,10732435034,12369708859,16359795686
Bulgaria,BGR,,,,,,,,,,,,,,,,,,,,,20039628408,20056237269,19804095243,16959385327,17411160328,17562123540,20261212354,28429026656,23002459532,21746813404,20726300435,10943548724,10371900499,10831999517,9704877673,13069094969,8890316778,10053469055,13060786998,13228374466,12903546765,13868600710,15979194511,20668176834,25283228366,28895083540,33209188739,42113656147,51824867998,48568714012,47727325909,53514380731
Burkina Faso,BFA,330442815,350247235,379567100,394040668,410321645,422916789,433889767,450753924,460442690,478298645,458404269,482411180,578595521,674773570,751133432,939972702,976547187,1131224880,1475583643,1748480618,1928719884,1775842337,1754450098,1600278605,1459880133,1552493197,2036303360,2369834946,2616040481,2615587730,3101300779,3135045586,2240264677,2332018011,1895290638,2379517976,2586550594,2447669100,2804902369,3014665572,2610959139,2812845486,3205592273,4205691122,4838551015,5462709055,5844669738,6755823933,8350710389,8348156389,9209288383,10395757480
Burundi,BDI,195999990,202999992,213500006,232749998,260750008,158994963,165444571,178297143,183200000,190205714,242732571,252842286,246804571,304339840,345263492,420986667,448412754,547535556,610225556,782496667,919726667,969046667,1013222222,1082926304,987143931,1149979286,1201725497,1131466494,1082403219,1113924130,1132101253,1167398478,1083037671,938632612,925030590,1000428394,869033856,972896268,893770806,808077223,835334807,822283637,780031536,759114690,898848341,1117254387,1237332893,1319347900,1620694245,1815182228,2026862708,2325972144
Cambodia,KHM,637142864,642857136,660000007,728571436,782857128,868571429,914285714,962857136,1065714249,978873268,718401145,969911438,505549460,702899174,588443894,,,,,,,,,,,,,,,,,,,2533727592,2791435219,3441205624,3506695723,3443413332,3120425503,3517242477,3654031716,3979813388,4284028138,4658246907,5337833256,6293046162,7274424519,8639164917,10351829066,10401935532,11242266334,12829541141
Cameroon,CMR,618740962,657597317,699373631,723624331,782384404,814140009,853268764,934078958,1053076992,1152418382,1160002329,1233991071,1430951432,1758727647,2255496517,2752770609,3076592634,3366368801,4409920571,5811443663,6740757493,7636346057,7322913600,7381853865,7801858401,8148223552,10621157923,12302473329,12493286837,11140057046,11151578703,12434368416,11396311478,13532152215,9220467286,8733227081,9732338099,9840550361,9629642600,10486456218,9287367569,9633109257,10879778328,13621809574,15775356737,16587921221,17953103009,20431779034,23735537026,22188223918,22426024466,25235747212
Canada,CAN,41093453545,40767969454,41978852041,44657169109,48882938810,53909570342,60358632035,64768831262,70759031842,77887510242,86303952531,97473757180,111034447924,128943105689,157503067485,170685214314,202833671400,207779031500,214672569475,238669113881,268893260349,300668112436,307902245278,333808828302,347140761331,355704137679,368867218424,421530165913,498166896888,555513513514,582722831676,598208082395,579531728303,563664832184,564493995313,590517341883,613761642831,637536472627,616766430738,661264723699,724918860683,715423553719,734661951188,865873242452,992226099522,1133759985476,1278610846645,1424065729448,1502678437547,1337577639752,1577040082218,1736050505051
Cape Verde,CPV,,,,,,,,,,,,,,,,,,,,,142246876,139468115,140630759,138476239,132019065,137728155,190651208,235253172,264308141,267448514,306891107,319827059,357160986,490417389,406580652,487148994,501979076,490608658,521910560,592416703,539227053,563024257,620974807,813963934,924318506,971976952,1107890815,1331208452,1561727129,1600829246,1659053271,1901136230
Cayman Islands,CYM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1012444041,,,,,,,,,,,,,,,
Central African Republic,CAF,112155598,123134584,124482774,129379124,142025079,150574795,157930018,163820514,191767442,188039210,189106529,201450800,230317883,271183082,281398706,378660016,451152461,507298148,610578631,700764747,797048197,694803624,748312391,658679333,637820671,864849837,1120162827,1211760383,1282888652,1268662918,1487506714,1404318674,1434147181,1298840407,852991705,1121910780,1070076042,1001080454,1047204240,1051325179,914401257,931830993,991424240,1139350727,1269621969,1350047680,1473129795,1697318340,1983224847,1981732673,1986015820,2194720004
Chad,TCD,313582728,333975336,357635714,371767003,392247518,416926303,432794923,449826323,453980096,471635621,469266737,501866731,585427546,647199483,652532796,864602103,866044961,935360467,1113920123,1004316495,1033002402,876937560,834369860,832415806,919103735,1033069710,1067828247,1163426851,1482597299,1433686310,1738605558,1877137983,1881847671,1463251161,1179837964,1445919895,1607345355,1544689576,1744794532,1534673504,1385058212,1709347777,1987622269,2736666451,4414929142,5301956889,6099007744,7006536071,8360777265,7081950632,8540674846,10581391312
Channel Islands,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5945677377,6262740657,6439703435,6232906290,6663669065,7332244898,8553643354,8827272727,9676172953,11514605842,,,,
Chile,CHL,4211762522,4705377500,5502763243,5482749434,5794301527,6053790468,7013580346,6913560997,7074820186,8179771226,8981111664,10694569522,11532517864,16387454417,15535549706,7226476865,9857547849,13359145454,15399431310,20729772211,27572307600,32644872980,24339421605,19770402077,19232737055,16486012247,17722536671,20902096532,24640912616,28385038397,31558927517,36424168146,44467946384,47693992627,55154226760,71349202309,75769008174,82808986192,79373597080,72995286764,79328640264,72336972322,70984568429,77840186385,100630707852,124404150138,154412421261,172868468116,179626662207,172590627161,216308874586,248585499941
China,CHN,61377930682,50100934916,46464003927,50280424169,58613239133,69709152023,75879433528,72057026116,69993499400,78718820946,91506213646,98562021764,112159815864,136769881126,142254740054,161162497664,151627679387,172349008333,148178859491,176634786271,189399992474,194111112580,203183214982,228455947880,257432147241,306666660698,297831879942,270372194997,309522625242,343973680226,356936901184,379468656246,422660918111,440500898965,559224707281,728007199936,856084729312,952652693079,1019458585326,1083277930360,1198474934199,1324806914358,1453827554714,1640958732775,1931644331142,2256902590825,2712950886698,3494055944791,4521827288304,4991256406735,5930529470799,7318499269769
Colombia,COL,4040948306,4552914126,4968598035,4838841458,5992169472,5790247619,5452762963,5727208180,5918467519,6405440200,7198373469,7820367893,8671371951,10315774588,12370045405,13098633902,15341403660,19470978268,23263511958,27940389361,33400712095,36388389129,38968019453,38729822782,38253120738,34894419525,34942483688,36373312083,39212545681,39540083646,40274204595,41239551378,49279585355,55802540101,81703496604,92507277798,97160111573,106659507964,98443743191,86186156584,99886577576,98203544965,97933392356,94684582573,117074865515,146520136085,162773603930,207520149156,244078366383,234360070287,286381037683,333371937903
Comoros,COM,,,,,,,,,,,,,,,,,,,,,123505661,114271876,107089563,111519674,107489832,114490709,162487779,196433674,207476559,198733188,250030778,246823413,266191083,263568133,185761813,231896234,230495757,212099641,215394049,222580462,201899884,220115655,251162421,324470869,362420484,387036132,403179474,464948879,530131963,535336462,543353412,610372697
"Congo, Dem. Rep.",COD,3359404132,3086746936,3779841410,6213185774,2881545277,4043901724,4532660145,3384063360,3909780525,5032434971,4877684933,5594770352,6173712810,7870239463,9596960174,10237343153,9648583221,12344424776,15372607995,15068422242,14394927493,12537821040,13651667371,11006712649,7857729193,7195042616,8095367168,7661625473,8861299977,9021862775,9349764581,9087965281,8206227134,10707792340,5820383305,5643439262,5771454884,6090840527,6215591273,4711259427,4305296502,4691816667,5544467552,5670128142,6511032844,7191141825,8823784633,10013852849,11675330310,11204008249,13107979826,15653634042
"Congo, Rep.",COG,131731863,151675739,166521240,172233431,185693725,198318064,220613582,237397428,251247458,265040036,274960700,322128019,410669263,541973362,585364635,767102679,754549601,765224031,878771771,1198749666,1705796850,1993512326,2160640567,2097274290,2193581366,2160872541,1849268215,2297753649,2212536313,2389593022,2798746051,2724853508,2933222706,1918970178,1769365439,2116003868,2540697538,2322719101,1949481381,2353909442,3219910666,2794259756,3019993723,3495868725,4648628840,6087002682,7731261169,8394688589,11859015181,9593536719,12007880067,14425606793
Costa Rica,CRI,507516617,490324267,479181227,511902567,542578822,592981156,647305631,699456618,773841500,853630203,984830160,1077152887,1238251658,1528916175,1666544795,1960863536,2412555508,3072427125,3523208934,4035519472,4831447173,2623807083,2606621245,3976453955,4593908762,4796628462,5477895476,5841132961,6063759371,6866402028,7403457319,7162546470,8573610781,9638291624,10557530522,11722356980,11843228352,12828976090,14095921303,15796567037,15946443261,16403603009,16844378718,17517535902,18596365934,19964893792,22526464348,26321999643,29831164903,29397499977,36217527243,40869768515
Cote d'Ivoire,CIV,546203558,618245635,645284475,761047199,921063326,919771228,1024102882,1082922726,1281281278,1361360292,1455482795,1584128511,1849400398,2508421426,3070152314,3893839184,4662053820,6265068200,7900526290,9142933956,10175617589,8432589956,7567110856,6838184772,6841639250,6977650648,9158302111,10087654451,10255169812,9757410630,10795850585,10492628588,11152971284,11045760269,8313557515,11000146269,12139234220,11722213507,12782570246,12556457527,10417060605,10545285037,11486664265,13737482344,15481092597,16363437145,17367303156,19795705245,23414253327,23041633639,22920779597,24073812829
Croatia,HRV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24782163174,18156461130,10279479681,10900520388,14578386962,22045607399,23341405840,23501676220,25106400616,23077661294,21517784659,23052044813,26524896398,34143409062,41003558916,44821408831,49855078905,59335976948,69586490140,62202619240,59472449336,62493220674
Cuba,CUB,,,,,,,,,,,5693005244,6914658389,8135150889,9987709686,11405957363,13027415252,13789579893,14206158658,17844705319,19584443219,19912889808,20150254124,20953510266,22205716020,24039383641,22921491787,24226283927,25213614325,27458999536,27025200369,28645436551,24317883624,22085858204,22367254851,28448326796,30428638304,25017300000,25366200000,25736600000,28365300000,30565200000,31683300000,33590400000,35901500000,38202800000,42644200000,52742100000,58603500000,60806200000,,,
Curacao,CUW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,,,,,,,,,,,,,,,,489912509,576090038,734876187,964024739,1288699021,2154311328,2087496322,2159242371,2160364086,2278248930,2430411867,3090734455,3704813857,4278792562,4563482553,5591130222,5770197317,6912150473,6590291095,7425703907,9250142748,9346693022,8905554119,9553478738,9776223013,9314937556,9679304971,10557366162,13319544758,15816972051,16997801392,18435765910,21841815681,25321517504,23542650736,23132450331,24689602446
